City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,297.17,81,100,6.17,PF,1670297191
1,saskylakh,71.9167,114.0833,249.67,97,100,8.05,RU,1670297192
2,punta arenas,-53.15,-70.9167,278.21,70,40,4.63,CL,1670297192
3,barrow,71.2906,-156.7887,269.16,80,100,6.17,US,1670296964
4,yellowknife,62.456,-114.3525,237.9,68,0,3.6,CA,1670297193
5,ushuaia,-54.8,-68.3,277.96,65,75,8.75,AR,1670296906
6,severo-kurilsk,50.6789,156.125,269.64,76,88,7.04,RU,1670297193
7,mataura,-46.1927,168.8643,283.42,37,16,2.75,NZ,1670297194
8,port alfred,-33.5906,26.891,286.58,94,100,0.89,ZA,1670297194
9,bengkulu,-3.8004,102.2655,300.71,71,100,1.29,ID,1670297194
10,codrington,-38.2667,141.9667,289.97,59,44,4.52,AU,1670297017
11,tarakan,3.3,117.6333,300.44,75,58,0.97,ID,1670297195
12,hermanus,-34.4187,19.2345,283.04,73,40,2.91,ZA,1670297195
13,yulara,-25.2406,130.9889,313.42,9,13,8.59,AU,1670297196
14,dikson,73.5069,80.5464,267.54,96,100,5.35,RU,1670297196
15,clyde river,70.4692,-68.5914,268.28,100,100,1.54,CA,1670297196
16,rock sound,24.9,-76.2,297.9,66,20,5.38,BS,1670297197
17,qaanaaq,77.484,-69.3632,272.33,74,100,5.74,GL,1670297197
18,mar del plata,-38.0023,-57.5575,294.16,73,0,4.63,AR,1670297197
19,puerto ayora,-0.7393,-90.3518,294.01,94,24,2.68,EC,1670297198
20,tuktoyaktuk,69.4541,-133.0374,246.15,69,40,11.32,CA,1670297198
21,kodiak,57.79,-152.4072,271.88,100,0,3.09,US,1670297198
22,mkushi,-13.6202,29.3939,290.2,84,100,1.43,ZM,1670297199
23,hobart,-42.8794,147.3294,289.96,57,75,7.72,AU,1670297199
24,mogadishu,2.0371,45.3438,299.19,83,59,4.65,SO,1670297055
25,mahebourg,-20.4081,57.7,298.85,78,75,5.14,MU,1670297200
26,nioro,13.35,-15.75,295.38,57,5,2.72,GM,1670297200
